ARF27_R1	0.00739772
ARF13_R1	0.133054
ARF14_R1	0.459993
ARF10_R1	0.391777
ARF18_R1	0.000865918
ARF16_R1	0.0244427
ARF36_R1	0.0326712
ARF25_R1	0.3498
ARF29_R1	0.00455023
ARF39_R1	0.0294758
ARF7_R1	0.159917
ARF34_R1	0.21127
ARF35_R1	0.269508
ARF4_R1	0.287018
BAD1_R1	0.231049
BZIP54_R1	0
EREB127_R1	0.405244
BZIP25_R1	6.57389e-06
EREB24_BBM_R1	0.126557
BZIP96_R1	0
EREB138_R1	0.198131
BZIP72_R1	2.87303e-06
LBD19_IG1_R1	0.419561
SBP30_UB3_R1	0.368137
BZIP57_FEA4_R1	0.0238198
EREB29_R1	0.0224633
SBP8_UB2_R1	0.268386
LBD38_R1	0.0334266
LBD5_R1	0.209267
SBP6_R1	0.102968
LBD16_RA2_R1	0.136377
EREB71_R1	0.19258
