H3_ear_R1_peaks.count_mqc.tsv:H3_ear_R1	1929
H3K27me3_ear_R1_peaks.count_mqc.tsv:H3K27me3_ear_R1	18811
H3K56ac_ear_R1_peaks.count_mqc.tsv:H3K56ac_ear_R1	32155
H3K36me3_ear_R1_peaks.count_mqc.tsv:H3K36me3_ear_R1	29740
H3K4me3_ear_R1_peaks.count_mqc.tsv:H3K4me3_ear_R1	43719
H3_leaf_R1_peaks.count_mqc.tsv:H3_leaf_R1	0
H3K27me3_leaf_R1_peaks.count_mqc.tsv:H3K27me3_leaf_R1	16433
H2AZ_leaf_R1_peaks.count_mqc.tsv:H2AZ_leaf_R1	68775
H3K56ac_ear_R2_peaks.count_mqc.tsv:H3K56ac_ear_R2	53657
H3K56ac_leaf_R1_peaks.count_mqc.tsv:H3K56ac_leaf_R1	49460
H3_leaf_R2_peaks.count_mqc.tsv:H3_leaf_R2	2
H3K27me3_ear_R2_peaks.count_mqc.tsv:H3K27me3_ear_R2	21998
H3K4me3_ear_R2_peaks.count_mqc.tsv:H3K4me3_ear_R2	43767
H3K4me3_leaf_R1_peaks.count_mqc.tsv:H3K4me3_leaf_R1	41877
H3K36me3_ear_R2_peaks.count_mqc.tsv:H3K36me3_ear_R2	29674
H3K27me3_leaf_R2_peaks.count_mqc.tsv:H3K27me3_leaf_R2	15213
H3K4me3_leaf_R2_peaks.count_mqc.tsv:H3K4me3_leaf_R2	41677
H2AZ_leaf_R2_peaks.count_mqc.tsv:H2AZ_leaf_R2	71381
H3K27ac_leaf_R1_peaks.count_mqc.tsv:H3K27ac_leaf_R1	66147
H3K27ac_leaf_R2_peaks.count_mqc.tsv:H3K27ac_leaf_R2	62804
H3K9ac_leaf_R1_peaks.count_mqc.tsv:H3K9ac_leaf_R1	36142
H3K4me1_leaf_R1_peaks.count_mqc.tsv:H3K4me1_leaf_R1	31412
H3K56ac_leaf_R2_peaks.count_mqc.tsv:H3K56ac_leaf_R2	45132
H3K36me3_leaf_R1_peaks.count_mqc.tsv:H3K36me3_leaf_R1	25687
H3K9ac_leaf_R2_peaks.count_mqc.tsv:H3K9ac_leaf_R2	24684
H3K4me1_leaf_R2_peaks.count_mqc.tsv:H3K4me1_leaf_R2	32423
H3K36me3_leaf_R2_peaks.count_mqc.tsv:H3K36me3_leaf_R2	26017
