SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	MergeID	paired	acc	spots	avgLength
SBP8_UB2_R1_T1			ARF10	SBP8_UB2	SBP8_UB2	control	1	m01	FALSE	SRR7889790	18121991	75.64212806418456
SBP6_R1_T1			ARF13	SBP6	SBP6	control	1	m02	FALSE	SRR7889791	24930195	75.61334867216242
SBP30_UB3_R1_T1			ARF14	SBP30_UB3	SBP30_UB3	control	1	m03	FALSE	SRR7889792	14159612	75.38042892700732
LBD5_R1_T1			ARF16	LBD5	LBD5	control	1	m04	FALSE	SRR7889793	28551131	75.68489108189794
LBD38_R1_T1			ARF18	LBD38	LBD38	control	1	m05	FALSE	SRR7889794	28371502	75.65729537336445
LBD19_IG1_R1_T1			ARF25	LBD19_IG1	LBD19_IG1	control	1	m06	FALSE	SRR7889795	14410671	75.3589953583702
LBD16_RA2_R1_T1			ARF27	LBD16_RA2	LBD16_RA2	control	1	m07	FALSE	SRR7889796	48659869	75.05461375163176
EREB71_R1_T1			ARF29	EREB71	EREB71	control	1	m08	FALSE	SRR7889797	25473798	75.66857694325753
EREB71_R1_T2			ARF34	EREB71	EREB71	control	1	m09	FALSE	SRR7889798	40746798	75.18979935552237
EREB29_R1_T1			ARF35	EREB29	EREB29	control	1	m10	FALSE	SRR7889799	40294472	74.9969123556204
EREB24_BBM_R1_T1			ARF36	EREB24_BBM	EREB24_BBM	control	1	m11	FALSE	SRR7889800	13082237	75.39888835525606
EREB24_BBM_R1_T2			ARF39	EREB24_BBM	EREB24_BBM	control	1	m12	FALSE	SRR7889801	18838361	75.15078206644411
EREB138_R1_T1			ARF4	EREB138	EREB138	control	1	m13	FALSE	SRR7889802	20233070	75.68357555230126
EREB127_R1_T1			ARF7	EREB127	EREB127	control	1	m14	FALSE	SRR7889803	12949888	75.40581694606162
BZIP96_R1_T1			control	BZIP96	BZIP96	control	1	m15	FALSE	SRR7889804	27640102	74.55103295204917
BZIP72_R1_T1			BAD1	BZIP72	BZIP72	control	1	m16	FALSE	SRR7889805	62039954	74.8448523027596
BZIP57_FEA4_R1_T1			BZIP25	BZIP57_FEA4	BZIP57_FEA4	control	1	m17	FALSE	SRR7889806	13844087	75.40561670841855
BZIP57_FEA4_R1_T2			BZIP54	BZIP57_FEA4	BZIP57_FEA4	control	1	m18	FALSE	SRR7889807	13364988	75.43989826253491
BZIP57_FEA4_R1_T3			BZIP57_FEA4	BZIP57_FEA4	BZIP57_FEA4	control	1	m19	FALSE	SRR7889808	23416223	75.39643737591669
BZIP54_R1_T1			BZIP57_FEA4	BZIP54	BZIP54	control	1	m19	FALSE	SRR7889809	23633639	75.43703328971048
BZIP25_R1_T1			BZIP57_FEA4	BZIP25	BZIP25	control	1	m19	FALSE	SRR7889810	24149450	75.41739099648233
BAD1_R1_T1			BZIP72	BAD1	BAD1	control	1	m20	FALSE	SRR7889811	11029949	75.53354924850514
control_R1_T1			BZIP96	control			1	m21	FALSE	SRR7889812	10465551	75.46343102240866
ARF7_R1_T1			EREB127	ARF7	ARF7	control	1	m22	FALSE	SRR7889813	4669689	72.47993731488329
ARF4_R1_T1			EREB138	ARF4	ARF4	control	1	m23	FALSE	SRR7889814	10582357	75.35476548371975
ARF39_R1_T1			EREB24_BBM	ARF39	ARF39	control	1	m24	FALSE	SRR7889815	9081020	70.41041557005711
ARF36_R1_T1			EREB24_BBM	ARF36	ARF36	control	1	m24	FALSE	SRR7889816	5132154	70.11193701514023
ARF35_R1_T1			EREB29	ARF35	ARF35	control	1	m25	FALSE	SRR7889817	8955343	75.50402502729376
ARF34_R1_T1			EREB71	ARF34	ARF34	control	1	m26	FALSE	SRR7889818	12206223	75.48424225905097
ARF29_R1_T1			EREB71	ARF29	ARF29	control	1	m26	FALSE	SRR7889819	18360362	75.61125859065307
ARF27_R1_T1			LBD16_RA2	ARF27	ARF27	control	1	m27	FALSE	SRR7889820	7586773	68.85974115740645
ARF25_R1_T1			LBD19_IG1	ARF25	ARF25	control	1	m28	FALSE	SRR7889821	16923907	75.43004638349761
ARF18_R1_T1			LBD38	ARF18	ARF18	control	1	m29	FALSE	SRR7889822	14443498	75.33917462376496
ARF16_R1_T1			LBD5	ARF16	ARF16	control	1	m30	FALSE	SRR7889823	16847447	75.35194679644934
ARF14_R1_T1			SBP30_UB3	ARF14	ARF14	control	1	m31	FALSE	SRR7889824	10352176	75.49252669197278
ARF13_R1_T1			SBP6	ARF13	ARF13	control	1	m32	FALSE	SRR7889825	10802484	75.49420420340358
ARF10_R1_T1			SBP8_UB2	ARF10	ARF10	control	1	m33	FALSE	SRR7889826	10785815	75.49888478524804
